OID_,GEOID10,ZONE_CODE,COUNT,AREA,MEAN
275,06067001200,275,751.000000000000000,675900.000000000000000,-0.168747538678378
276,06067000800,276,639.000000000000000,575100.000000000000000,-0.127959143750061
277,06067000700,277,569.000000000000000,512100.000000000000000,-0.082340359525982
278,06067000600,278,454.000000000000000,408600.000000000000000,-0.182556628416773
279,06067000500,279,960.000000000000000,864000.000000000000000,-0.188507943763398
280,06067000400,280,1083.000000000000000,974700.000000000000000,-0.245892738256111
281,06067000300,281,1591.000000000000000,1431900.000000000000000,-0.254743969376421
282,06067000200,282,1679.000000000000000,1511100.000000000000000,-0.229974725561582
283,06067007206,283,20764.000000000000000,18687600.000000000000000,-0.245783000028897
284,06067009406,284,173294.000000000000000,155964600.000000000000000,-0.259101998162677
285,06067008402,285,3600.000000000000000,3240000.000000000000000,-0.210721644964845
286,06067005505,286,2167.000000000000000,1950300.000000000000000,-0.180304560907457
287,06067008210,287,6706.000000000000000,6035400.000000000000000,-0.215715230632138
288,06067009404,288,199861.000000000000000,179874900.000000000000000,-0.286287181407221
289,06067008600,289,355628.000000000000000,320065200.000000000000000,-0.269836030570235
290,06067009322,290,5652.000000000000000,5086800.000000000000000,-0.174490846410263
291,06067009310,291,5751.000000000000000,5175900.000000000000000,-0.163372775435385
292,06067009309,292,2331.000000000000000,2097900.000000000000000,-0.226741474522146
293,06067005301,293,6960.000000000000000,6264000.000000000000000,-0.140357373511279
294,06067988300,294,3705.000000000000000,3334500.000000000000000,-0.243691144006229
295,06067009637,295,2407.000000000000000,2166300.000000000000000,-0.199129435924429
296,06067009622,296,3344.000000000000000,3009600.000000000000000,-0.198075881367017
297,06067009407,297,8338.000000000000000,7504200.000000000000000,-0.230392333039910
298,06067009325,298,51983.000000000000000,46784700.000000000000000,-0.275228967248851
299,06067009011,299,5865.000000000000000,5278500.000000000000000,-0.164016631275069
300,06067008703,300,6365.000000000000000,5728500.000000000000000,-0.173506170786684
301,06067008513,301,3730.000000000000000,3357000.000000000000000,-0.171253030506479
302,06067000100,302,2561.000000000000000,2304900.000000000000000,-0.238876610342202
303,06067007208,303,8440.000000000000000,7596000.000000000000000,-0.239880574791128
304,06067007209,304,2822.000000000000000,2539800.000000000000000,-0.242822145906965
305,06067004904,305,2753.000000000000000,2477700.000000000000000,-0.196478247249758
306,06067004602,306,1462.000000000000000,1315800.000000000000000,-0.194830964857052
307,06067008207,307,4223.000000000000000,3800700.000000000000000,-0.231398268590514
308,06067008204,308,2860.000000000000000,2574000.000000000000000,-0.250034496455186
309,06067008203,309,6831.000000000000000,6147900.000000000000000,-0.293229903582558
310,06067009308,310,3221.000000000000000,2898900.000000000000000,-0.186818343592727
311,06067009307,311,2882.000000000000000,2593800.000000000000000,-0.213620013252966
312,06067007011,312,2158.000000000000000,1942200.000000000000000,-0.209534889565690
313,06067009314,313,5764.000000000000000,5187600.000000000000000,-0.217521812241669
314,06067009311,314,7001.000000000000000,6300900.000000000000000,-0.221873667787694
315,06067009618,315,15501.000000000000000,13950900.000000000000000,-0.174867232138735
316,06067009800,316,173371.000000000000000,156033900.000000000000000,-0.194333505985588
317,06067009900,317,296271.000000000000000,266643900.000000000000000,-0.271208418232853
